id,title,availability,web_evidence,mobile_evidence,db_evidence,status_hint,verdict,policy_compliance
1,"Plurality Voting","Web App and Mobile App","src/services/enhancedRecommendationService.js","lib/services/tie_resolution_service.dart","supabase/migrations/20260122041700_elections_votes_profiles.sql","",AMBER,PENDING
2,"Ranked Choice Voting","Web App and Mobile App","src/services/adSlotManagerService.js","lib/services/claude_decision_reasoning_service.dart","supabase/migrations/20260122041700_elections_votes_profiles.sql","",AMBER,PENDING
3,"Approval Voting","Web App and Mobile App","src/services/enhancedRecommendationService.js","lib/services/ga4_analytics_service.dart","supabase/migrations/20260122041700_elections_votes_profiles.sql","",AMBER,PENDING
4,"Plus/Minus Voting","Web App and Mobile App","src/Routes.jsx","lib/widgets/custom_icon_widget.dart","supabase/migrations/20260124202000_age_verification_plus_minus_voting.sql","",AMBER,PENDING
5,"MCQ Pre-Voting Quiz","Web App and Mobile App","src/pages/voter-education-hub/index.jsx","lib/presentation/vote_casting/vote_casting.dart","supabase/migrations/20260123180100_comprehensive_voting_features.sql","",AMBER,PENDING
6,"MCQ Image Voting","Web App and Mobile App","src/Routes.jsx","lib/widgets/enhanced_empty_state_widget.dart","supabase/migrations/20260122041700_elections_votes_profiles.sql","",AMBER,PENDING
7,"Prediction Pool Voting","Web App and Mobile App","src/Routes.jsx","lib/widgets/custom_icon_widget.dart","supabase/migrations/20260122041700_elections_votes_profiles.sql","",AMBER,PENDING
8,"Collaborative Voting Room","Web App and Mobile App","src/Routes.jsx","lib/services/collaborative_voting_service.dart","supabase/migrations/20260122041700_elections_votes_profiles.sql","",AMBER,PENDING
9,"Location-Based Voting","Web App and Mobile App","src/Routes.jsx","lib/widgets/custom_app_bar.dart","supabase/migrations/20260122041700_elections_votes_profiles.sql","",AMBER,PENDING
10,"External Voter Gate","Web App and Mobile App","src/Routes.jsx","lib/main.dart","supabase/migrations/20260123195000_multi_auth_localization_features.sql","",AMBER,PENDING
11,"Cryptographic Vote Receipts","Web App and Mobile App","src/Routes.jsx","lib/services/blockchain_receipt_service.dart","supabase/migrations/20260122053000_direct_messaging.sql","⚠️ Partial (cryptographic verification exists, but SHA-256 + RSA receipt spec is not fully confirmed end-to-end)",AMBER,PENDING
12,"Vote Anonymity via Mixnet","Web App and Mobile App","src/Routes.jsx","lib/services/anonymous_voting_service.dart","supabase/migrations/20260123202800_cryptographic_audit_trails.sql","❌ Not implemented/verified (mixnets/ZK-style privacy routing not wired in current Web implementation)",RED,PENDING
13,"Zero-Knowledge Proofs (ZK-SNARKs)","Web App and Mobile App","src/services/blockchainService.js","lib/services/sla_monitoring_service.dart","supabase/migrations/20260123202800_cryptographic_audit_trails.sql","❌ Not implemented/verified (ZK proofs not wired in current Web implementation)",RED,PENDING
14,"Homomorphic Encryption","Web App and Mobile App","src/services/cryptographicService.js","lib/presentation/voter_education_hub/voter_education_hub.dart","","❌ Not implemented/verified (homomorphic tallying not wired in current Web implementation)",RED,PENDING
15,"Threshold Cryptography","Web App and Mobile App","src/services/cryptographicService.js","","supabase/migrations/20260123202800_cryptographic_audit_trails.sql","❌ Not implemented/verified (threshold decryption not wired in current Web implementation)",RED,PENDING
16,"Blockchain Vote Verification Portal","Web App and Mobile App","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122041700_elections_votes_profiles.sql","✅ Fully implemented (public verification/audit portals exist in the Web app)",GREEN,PENDING
17,"VVSG Compliance","Web App and Mobile App","src/services/cryptographicService.js","lib/presentation/production_security_hardening_sprint_dashboard/production_security_hardening_sprint_dashboard.dart","supabase/migrations/20260123202800_cryptographic_audit_trails.sql","⚠️ Partial/Not verified (institutional VVSG compliance is not fully evidenced end-to-end in the Web codebase)",AMBER,PENDING
18,"Vote Verification Portal","Web App and Mobile App","src/Routes.jsx","lib/main.dart","supabase/migrations/20260123195000_advanced_missing_features.sql","✅ Fully implemented (verification portal route and flow exist in the Web app)",GREEN,PENDING
19,"Featured Elections Carousel","Web App and Mobile App","src/Routes.jsx","lib/widgets/custom_icon_widget.dart","supabase/migrations/20260309160000_seed_comprehensive_audit_toggles.sql","",AMBER,PENDING
20,"Category Browser","Web App and Mobile App","src/services/anthropicSecurityReasoningService.js","lib/widgets/custom_icon_widget.dart","","",AMBER,PENDING
21,"Trending Elections Feed","Web App and Mobile App","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122041700_elections_votes_profiles.sql","",AMBER,PENDING
22,"Location-Based Election Discovery","Web App and Mobile App","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122041700_elections_votes_profiles.sql","",AMBER,PENDING
23,"Advanced Search and Discovery Hub","Web App and Mobile App","src/Routes.jsx","lib/main.dart","supabase/migrations/20260212000000_advanced_features_implementation.sql","",AMBER,PENDING
24,"AI Recommendation Overlay (Claude)","Web App and Mobile App","src/Routes.jsx","lib/main.dart","supabase/migrations/20260123164300_accessibility_orchestration_analytics.sql","",AMBER,PENDING
25,"Topic Preference Collection Hub","Web App and Mobile App","src/Routes.jsx","lib/widgets/custom_icon_widget.dart","supabase/migrations/20260123144900_topic_preference_swipe_system.sql","",AMBER,PENDING
26,"Election Insights and Predictive Analytics","Web App and Mobile App","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122100400_social_activity_feed.sql","",AMBER,PENDING
27,"Vottery Points (VP) Universal Currency","Web App and Mobile App","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122044400_wallet_transactions_payouts.sql","",AMBER,PENDING
28,"VP Earning Actions","Web App and Mobile App","src/services/analyticsCacheService.js","lib/widgets/enhanced_empty_state_widget.dart","supabase/migrations/20260123212700_multi_domain_integration_features.sql","",AMBER,PENDING
29,"VP Spending and Redemption","Web App and Mobile App","src/services/creatorEarningsService.js","lib/presentation/vp_economy_health_monitor/vp_economy_health_monitor.dart","","",AMBER,PENDING
30,"VP Redemption Marketplace","Web App and Mobile App","src/Routes.jsx","lib/services/revenue_intelligence_service.dart","supabase/migrations/20260309160000_seed_comprehensive_audit_toggles.sql","",AMBER,PENDING
31,"VP Charity Hub","Web App and Mobile App","src/Routes.jsx","lib/services/vp_service.dart","supabase/migrations/20260309160000_seed_comprehensive_audit_toggles.sql","",AMBER,PENDING
32,"VP Crypto Conversion","Web App and Mobile App","src/pages/vp-redemption-marketplace-charity-hub/components/RedemptionHistoryPanel.jsx","","supabase/migrations/20260122044400_wallet_transactions_payouts.sql","",AMBER,PENDING
33,"XP and Leveling System","Web App and Mobile App","","","","",AMBER,PENDING
34,"Achievement Badge System","Web App and Mobile App","src/Routes.jsx","lib/widgets/custom_icon_widget.dart","supabase/migrations/20260122100400_social_activity_feed.sql","",AMBER,PENDING
35,"Streak Tracking System","Web App and Mobile App","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122110700_alert_management_admin_logs.sql","",AMBER,PENDING
36,"Dynamic Quest Management Dashboard","Web App and Mobile App","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122095000_friends_management.sql","",AMBER,PENDING
37,"AI-Generated Quests (GPT-4)","Web App and Mobile App","src/services/anthropicSecurityReasoningService.js","lib/widgets/gamification/ai_quest_widget.dart","supabase/migrations/20260126211100_platform_gamification_system.sql","",AMBER,PENDING
38,"Seasonal Challenges","Web App and Mobile App","src/services/perplexityStrategicPlanningService.js","lib/routes/app_routes.dart","supabase/migrations/20260309160000_seed_comprehensive_audit_toggles.sql","",AMBER,PENDING
39,"Prediction Pools System","Web App and Mobile App","src/Routes.jsx","lib/main.dart","supabase/migrations/20260123144900_topic_preference_swipe_system.sql","",AMBER,PENDING
40,"3D Gamified Election Experience Center","Web App and Mobile App","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122041700_elections_votes_profiles.sql","",AMBER,PENDING
41,"Gamified Feed Overlay System","Web App and Mobile App","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122041700_elections_votes_profiles.sql","",AMBER,PENDING
42,"Platform Gamification Widget","Web App and Mobile App","src/Routes.jsx","lib/main.dart","supabase/migrations/20260123195000_multi_auth_localization_features.sql","",AMBER,PENDING
43,"Unified Gamification Dashboard","Web App and Mobile App","src/Routes.jsx","lib/main.dart","supabase/migrations/20260307120000_vottery_ads_studio_unified.sql","",AMBER,PENDING
44,"Global Platform Leaderboard","Web App and Mobile App","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122050000_enhanced_elections_features.sql","",AMBER,PENDING
45,"Community Leaderboard","Web App and Mobile App","src/services/feedbackService.js","lib/services/community_engagement_service.dart","","",AMBER,PENDING
46,"Prediction Pool Leaderboard","Web App and Mobile App","src/Routes.jsx","lib/widgets/custom_icon_widget.dart","supabase/migrations/20260228000000_election_predictions_table.sql","",AMBER,PENDING
47,"Contributor Impact Score","Web App and Mobile App","src/services/advancedMonitoringService.js","lib/services/behavioral_heatmap_service.dart","supabase/migrations/20260122223200_financial_tracking_executive_reporting.sql","",AMBER,PENDING
48,"Social Influence Score","Web App and Mobile App","src/services/analyticsService.js","lib/widgets/custom_icon_widget.dart","supabase/migrations/20260122214700_content_distribution_controls.sql","",AMBER,PENDING
49,"User Profile Hub","Web App and Mobile App","src/Routes.jsx","lib/widgets/custom_bottom_bar.dart","supabase/migrations/20260122041700_elections_votes_profiles.sql","",AMBER,PENDING
50,"Settings and Account Dashboard","Web App and Mobile App","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122044400_wallet_transactions_payouts.sql","",AMBER,PENDING
51,"Personal Analytics Dashboard","Web App and Mobile App","src/Routes.jsx","lib/main.dart","supabase/migrations/20260123200100_add_participatory_advertising_toggle.sql","",AMBER,PENDING
52,"User Analytics Dashboard","Web App and Mobile App","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122111900_scheduled_reports_email.sql","",AMBER,PENDING
53,"User Activity Log","Web App and Mobile App","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122095000_friends_management.sql","",AMBER,PENDING
54,"User Security Center","Web App and Mobile App","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122041700_elections_votes_profiles.sql","",AMBER,PENDING
55,"Friends Management Hub","Web App and Mobile App","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122095000_friends_management.sql","",AMBER,PENDING
56,"Direct Messaging Center","Web App and Mobile App","src/Routes.jsx","lib/widgets/custom_icon_widget.dart","supabase/migrations/20260122053000_direct_messaging.sql","",AMBER,PENDING
57,"Social Activity Timeline","Web App and Mobile App","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122095000_friends_management.sql","",AMBER,PENDING
58,"Comprehensive Social Engagement Suite","Web App and Mobile App","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122041700_elections_votes_profiles.sql","",AMBER,PENDING
59,"Groups Discovery and Management","Web App and Mobile App","src/Routes.jsx","lib/widgets/custom_bottom_bar.dart","supabase/migrations/20260122223200_financial_tracking_executive_reporting.sql","",AMBER,PENDING
60,"Topic-Based Community Elections Hub","Web App and Mobile App","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122041700_elections_votes_profiles.sql","",AMBER,PENDING
61,"Community Engagement Dashboard","Web App and Mobile App","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122041700_elections_votes_profiles.sql","✅ Fully implemented (100%) (routed in the Web app)",GREEN,PENDING
62,"Creator Community Hub","Web App and Mobile App","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122041700_elections_votes_profiles.sql","",AMBER,PENDING
63,"Moments Creation Studio","Web App and Mobile App","src/Routes.jsx","lib/widgets/dual_header_bottom_bar.dart","supabase/migrations/20260307120000_vottery_ads_studio_unified.sql","⚠️ Partial (studio exists, but some elements like filters/expiry/viral scoring depth are not fully evidenced as end-to-end in current Web audits)",AMBER,PENDING
64,"Moments Feed","Web App and Mobile App","src/Routes.jsx","lib/widgets/dual_header_bottom_bar.dart","supabase/migrations/20260307120000_vottery_ads_studio_unified.sql","",AMBER,PENDING
65,"Jolts Video Studio","Web App and Mobile App","src/Routes.jsx","lib/widgets/dual_header_bottom_bar.dart","supabase/migrations/20260307120000_vottery_ads_studio_unified.sql","⚠️ Partial (studio exists, but auto-captions/trending intelligence and other short-form pipeline pieces are not fully evidenced as end-to-end in current Web audits)",AMBER,PENDING
66,"Jolts Feed","Web App and Mobile App","src/Routes.jsx","lib/widgets/dual_header_bottom_bar.dart","supabase/migrations/20260307120000_vottery_ads_studio_unified.sql","",AMBER,PENDING
67,"Real-Time Notifications Hub","Web App and Mobile App","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122050000_enhanced_elections_features.sql","",AMBER,PENDING
68,"Notification Center Hub","Web App and Mobile App","src/Routes.jsx","lib/main.dart","supabase/migrations/20260123020300_orchestration_automation_layer.sql","",AMBER,PENDING
69,"Smart Push Notification Timing","Web App and Mobile App","src/Routes.jsx","lib/widgets/custom_icon_widget.dart","supabase/migrations/20260309140000_seed_domain_feature_toggles.sql","⚠️ Partial (smart timing logic exists, but full client integration and end-to-end personalization are not fully confirmed as complete)",AMBER,PENDING
70,"Winner Announcement Notifications","Web App and Mobile App","src/Routes.jsx","lib/widgets/custom_icon_widget.dart","supabase/migrations/20260122050000_enhanced_elections_features.sql","",AMBER,PENDING
71,"Streak Expiration Alerts","Web App and Mobile App","src/services/claudeRevenueRiskService.js","lib/services/gamification_service.dart","supabase/migrations/20260320213000_notification_delivery_hardening.sql","",AMBER,PENDING
72,"Digital Wallet Hub","Web App and Mobile App","src/Routes.jsx","lib/widgets/dual_header_bottom_bar.dart","supabase/migrations/20260124202000_age_verification_plus_minus_voting.sql","",AMBER,PENDING
73,"Participation Fee Payment","Web App and Mobile App","src/services/googleAnalyticsService.js","lib/main.dart","supabase/migrations/20260123182000_comprehensive_missing_features.sql","",AMBER,PENDING
74,"Prize Redemption System","Web App and Mobile App","src/Routes.jsx","lib/services/prediction_service.dart","supabase/migrations/20260122041700_elections_votes_profiles.sql","",AMBER,PENDING
75,"User Subscription Dashboard","Web App and Mobile App","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122134700_compliance_dashboard.sql","",AMBER,PENDING
76,"Enhanced Premium Subscription Center","Web App and Mobile App","src/Routes.jsx","lib/main.dart","supabase/migrations/20260123020300_orchestration_automation_layer.sql","",AMBER,PENDING
77,"Multi-Currency Support","Web App and Mobile App","src/Routes.jsx","lib/main.dart","supabase/migrations/20260123195000_multi_auth_localization_features.sql","",AMBER,PENDING
78,"Interactive Onboarding Wizard","Web App and Mobile App","src/Routes.jsx","lib/main.dart","supabase/migrations/20260309140000_seed_domain_feature_toggles.sql","✅ Fully implemented (100%) (routed in the Web app)",GREEN,PENDING
79,"AI-Guided Interactive Tutorial System (GPT-4)","Web App and Mobile App","src/Routes.jsx","lib/main.dart","supabase/migrations/20260124202000_age_verification_plus_minus_voting.sql","✅ Fully implemented (100%) (routed in the Web app)",GREEN,PENDING
80,"Guided Tours","Web App and Mobile App","src/Routes.jsx","lib/routes/app_routes.dart","supabase/migrations/20260212000000_advanced_features_implementation.sql","",AMBER,PENDING
81,"Voter Education Hub","Web App and Mobile App","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122041700_elections_votes_profiles.sql","",AMBER,PENDING
82,"Contextual Help Overlays","Web App and Mobile App","src/index.jsx","lib/routes/app_routes.dart","","",AMBER,PENDING
83,"61-Language Support","Web App and Mobile App","src/i18n.js","lib/main.dart","supabase/migrations/20260122041700_elections_votes_profiles.sql","",AMBER,PENDING
84,"Accessibility Settings","Web App and Mobile App","src/Routes.jsx","lib/main.dart","supabase/migrations/20260123164300_user_preferences_accessibility.sql","",AMBER,PENDING
85,"Adaptive Layout and Responsive Design","Web App and Mobile App","src/services/carousel3DOptimizationService.js","lib/services/openai_service.dart","supabase/migrations/20260309160000_seed_comprehensive_audit_toggles.sql","",AMBER,PENDING
86,"Regional Settings","Web App and Mobile App","src/Routes.jsx","lib/main.dart","supabase/migrations/20260123195000_multi_auth_localization_features.sql","",AMBER,PENDING
87,"RTL Language Support","Web App and Mobile App","src/i18n.js","lib/main.dart","supabase/migrations/20260122041700_elections_votes_profiles.sql","",AMBER,PENDING
88,"Multi-Authentication Gateway","Web App and Mobile App","src/Routes.jsx","lib/services/multi_ai_threat_orchestrator.dart","supabase/migrations/20260123195000_advanced_missing_features.sql","",AMBER,PENDING
89,"Two-Factor Authentication (2FA)","Web App and Mobile App","src/services/aiSentimentService.js","lib/services/anomaly_prediction_system.dart","supabase/migrations/20260301083235_deployment_security_webhook_tables.sql","",AMBER,PENDING
90,"Age Verification and Digital Identity Center","Web App and Mobile App","src/Routes.jsx","lib/main.dart","supabase/migrations/20260123164300_accessibility_orchestration_analytics.sql","⚠️ Partial (services/pages exist, but `/age-verification-digital-identity-center` is not registered in `src/Routes",AMBER,PENDING
91,"Session Management","Web App and Mobile App","src/services/adSlotManagerService.js","lib/main.dart","supabase/migrations/20260122110700_alert_management_admin_logs.sql","",AMBER,PENDING
92,"hCaptcha Bot Prevention","Web App and Mobile App","","","","",AMBER,PENDING
93,"GDPR Data Rights","Web App and Mobile App","src/services/complianceService.js","lib/services/admin_management_service.dart","supabase/migrations/20260122134700_compliance_dashboard.sql","",AMBER,PENDING
94,"User Feedback Portal and Feature Request System","Web App and Mobile App","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122050000_enhanced_elections_features.sql","",AMBER,PENDING
95,"Election Creation Studio","Web App (full), Mobile App (simplified creation)","src/Routes.jsx","lib/widgets/dual_header_bottom_bar.dart","supabase/migrations/20260122100400_social_activity_feed.sql","",AMBER,PENDING
96,"Elections Dashboard","Web App (full), Mobile App (simplified creation)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260123200100_add_participatory_advertising_toggle.sql","",AMBER,PENDING
97,"Enhanced MCQ Creation Studio","Web App (full), Mobile App (simplified creation)","src/Routes.jsx","lib/widgets/custom_icon_widget.dart","supabase/migrations/20260309140000_seed_domain_feature_toggles.sql","",AMBER,PENDING
98,"Live Question Injection Management Center","Web App (full), Mobile App (simplified creation)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122111900_scheduled_reports_email.sql","",AMBER,PENDING
99,"Presentation Builder and Audience Q&A Hub","Web App (full), Mobile App (simplified creation)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260124202000_age_verification_plus_minus_voting.sql","",AMBER,PENDING
100,"Election Status and Lifecycle Management","Web App (full), Mobile App (simplified creation)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122041700_elections_votes_profiles.sql","",AMBER,PENDING
101,"Creator Compliance and Verification","Web App (full), Mobile App (simplified creation)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122111900_scheduled_reports_email.sql","",AMBER,PENDING
102,"Creator Monetization Studio","Web App (full), Mobile App (view and configure)","src/Routes.jsx","lib/widgets/dual_header_bottom_bar.dart","supabase/migrations/20260214154900_creator_ecosystem_features.sql","",AMBER,PENDING
103,"Creator Earnings Command Center","Web App (full), Mobile App (view and configure)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260123195000_multi_auth_localization_features.sql","",AMBER,PENDING
104,"Enhanced Creator Payout Dashboard (Stripe Connect)","Web App (full), Mobile App (view and configure)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122044400_wallet_transactions_payouts.sql","",AMBER,PENDING
105,"Stripe Connect Account Linking Interface","Web App (full), Mobile App (view and configure)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122044400_wallet_transactions_payouts.sql","",AMBER,PENDING
106,"8-Zone Participation Fee Pricing","Web App (full), Mobile App (view and configure)","src/Routes.jsx","lib/services/admin_automation_engine_service.dart","supabase/migrations/20260122050000_enhanced_elections_features.sql","",AMBER,PENDING
107,"Creator Brand Partnership Portal","Web App (full), Mobile App (view and configure)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260123212700_multi_domain_integration_features.sql","",AMBER,PENDING
108,"Creator Marketplace","Web App (full), Mobile App (view and configure)","src/Routes.jsx","lib/widgets/enhanced_empty_state_widget.dart","supabase/migrations/20260214154900_creator_ecosystem_features.sql","",AMBER,PENDING
109,"Carousel Template Marketplace","Web App (full), Mobile App (view and configure)","src/Routes.jsx","lib/services/carousel_content_service.dart","supabase/migrations/20260224182000_carousel_features_implementation.sql","",AMBER,PENDING
110,"Real-Time Analytics Dashboard","Web App (full), Mobile App (summary view)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122050000_enhanced_elections_features.sql","",AMBER,PENDING
111,"Creator Growth Analytics Dashboard","Web App (full), Mobile App (summary view)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122111900_scheduled_reports_email.sql","",AMBER,PENDING
112,"Predictive Creator Insights Dashboard","Web App (full), Mobile App (summary view)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122100400_social_activity_feed.sql","",AMBER,PENDING
113,"Creator Revenue Forecasting Dashboard","Web App (full), Mobile App (summary view)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122111900_scheduled_reports_email.sql","",AMBER,PENDING
114,"MCQ Analytics Intelligence Dashboard","Web App (full), Mobile App (summary view)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122134700_compliance_dashboard.sql","",AMBER,PENDING
