id,title,availability,web_evidence,mobile_evidence,db_evidence,status_hint,verdict,policy_compliance
115,"MCQ A/B Testing Analytics Dashboard","Web App (full), Mobile App (summary view)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260123164300_accessibility_orchestration_analytics.sql","",AMBER,PENDING
116,"Mobile Creator Analytics","Web App (full), Mobile App (summary view)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122111900_scheduled_reports_email.sql","",AMBER,PENDING
117,"Claude Creator Success Agent","Web App (full), Mobile App (view coaching and scores)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122041700_elections_votes_profiles.sql","",AMBER,PENDING
118,"Creator Health Score","Web App (full), Mobile App (view coaching and scores)","src/Routes.jsx","lib/widgets/custom_icon_widget.dart","supabase/migrations/20260122110700_alert_management_admin_logs.sql","",AMBER,PENDING
119,"Creator Churn Prediction Intelligence Center","Web App (full), Mobile App (view coaching and scores)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122220000_ai_content_safety_regulatory_compliance.sql","",AMBER,PENDING
120,"Content Quality Scoring (Claude)","Web App (full), Mobile App (view coaching and scores)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122041700_elections_votes_profiles.sql","",AMBER,PENDING
121,"Viral Score Engine (Moments)","Web App (full), Mobile App (view coaching and scores)","src/Routes.jsx","lib/widgets/custom_icon_widget.dart","supabase/migrations/20260123020300_orchestration_automation.sql","",AMBER,PENDING
122,"Optimal Publishing Time Recommendation","Web App (full), Mobile App (view coaching and scores)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122214700_content_distribution_controls.sql","",AMBER,PENDING
123,"Brand Advertiser Registration Portal","Web App (full), Mobile App (monitor and manage)","src/Routes.jsx","lib/widgets/custom_icon_widget.dart","supabase/migrations/20260123020300_orchestration_automation_layer.sql","",AMBER,PENDING
124,"Participatory Ads Studio","Web App (full), Mobile App (monitor and manage)","src/Routes.jsx","lib/routes/app_routes.dart","supabase/migrations/20260307120000_vottery_ads_studio_unified.sql","",AMBER,PENDING
125,"Campaign Template Gallery","Web App (full), Mobile App (monitor and manage)","src/Routes.jsx","lib/widgets/custom_icon_widget.dart","supabase/migrations/20260122111900_scheduled_reports_email.sql","",AMBER,PENDING
126,"Campaign Management Dashboard","Web App (full), Mobile App (monitor and manage)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122111900_scheduled_reports_email.sql","",AMBER,PENDING
127,"Automated Campaign Optimization Dashboard","Web App (full), Mobile App (monitor and manage)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122111900_scheduled_reports_email.sql","",AMBER,PENDING
128,"Advertiser Analytics and ROI Dashboard","Web App (full), Mobile App (summary)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260123020300_orchestration_automation_layer.sql","",AMBER,PENDING
129,"Enhanced Real-Time Advertiser ROI Dashboard","Web App (full), Mobile App (summary)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122050000_enhanced_elections_features.sql","",AMBER,PENDING
130,"Brand Dashboard and Specialized KPIs Center","Web App (full), Mobile App (summary)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260123020300_orchestration_automation_layer.sql","",AMBER,PENDING
131,"Real-Time Brand Alert and Budget Monitoring Center","Web App (full), Mobile App (summary)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122041700_elections_votes_profiles.sql","",AMBER,PENDING
132,"Dual Advertising System Analytics Dashboard","Web App (full), Mobile App (summary)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122134700_compliance_dashboard.sql","",AMBER,PENDING
133,"Ad Slot Manager and Inventory Control Center","Web App only","src/Routes.jsx","lib/main.dart","supabase/migrations/20260123182000_comprehensive_missing_features.sql","",AMBER,PENDING
134,"Dynamic Ad Rendering and Fill Rate Analytics Hub","Web App only","src/index.jsx","lib/main.dart","supabase/migrations/20260122111900_scheduled_reports_email.sql","",AMBER,PENDING
135,"CPE Pricing Engine and Sponsored Elections Schema","Web App only","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122041700_elections_votes_profiles.sql","",AMBER,PENDING
136,"Admin Control Center","Web App (full), Mobile App (critical actions only)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122050000_enhanced_elections_features.sql","",AMBER,PENDING
137,"Advanced Admin Role Management System","Web App (full), Mobile App (critical actions only)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122041700_elections_votes_profiles.sql","",AMBER,PENDING
138,"Admin Automation Control Panel","Web App (full), Mobile App (critical actions only)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122050000_enhanced_elections_features.sql","",AMBER,PENDING
139,"Mobile Admin Dashboard","Web App (full), Mobile App (critical actions only)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122134700_compliance_dashboard.sql","",AMBER,PENDING
140,"Content Moderation Control Center","Web App (full), Mobile App (review queue)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122110700_alert_management_admin_logs.sql","",AMBER,PENDING
141,"Anthropic Content Intelligence Center (Claude 3 Opus)","Web App (full), Mobile App (review queue)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122134700_compliance_dashboard.sql","",AMBER,PENDING
142,"Anthropic Advanced Content Analysis Center","Web App (full), Mobile App (review queue)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122134700_compliance_dashboard.sql","",AMBER,PENDING
143,"AI Content Safety Screening Center","Web App (full), Mobile App (review queue)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122041700_elections_votes_profiles.sql","",AMBER,PENDING
144,"Content Distribution Control Center","Web App (full), Mobile App (review queue)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122214700_content_distribution_controls.sql","",AMBER,PENDING
145,"Moderator Override System","Web App (full), Mobile App (review queue)","src/services/adminLogService.js","lib/main.dart","supabase/migrations/20260122041700_elections_votes_profiles.sql","",AMBER,PENDING
146,"Advanced AI Fraud Prevention Command Center","Web App (full), Mobile App (alert monitoring)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122220000_ai_content_safety_regulatory_compliance.sql","",AMBER,PENDING
147,"Fraud Prevention Dashboard with Perplexity Threat Analysis","Web App (full), Mobile App (alert monitoring)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122110700_alert_management_admin_logs.sql","",AMBER,PENDING
148,"Advanced Perplexity Fraud Intelligence Center","Web App (full), Mobile App (alert monitoring)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122134700_compliance_dashboard.sql","",AMBER,PENDING
149,"Advanced Perplexity Fraud Forecasting Center","Web App (full), Mobile App (alert monitoring)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122134700_compliance_dashboard.sql","",AMBER,PENDING
150,"Advanced Perplexity 60-90 Day Threat Forecasting Center","Web App (full), Mobile App (alert monitoring)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122134700_compliance_dashboard.sql","",AMBER,PENDING
151,"Auto-Improving Fraud Detection Intelligence Center","Web App (full), Mobile App (alert monitoring)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122110700_alert_management_admin_logs.sql","",AMBER,PENDING
152,"Revenue Fraud Detection and Anomaly Prevention Center","Web App (full), Mobile App (alert monitoring)","src/Routes.jsx","lib/services/advanced_perplexity_fraud_service.dart","supabase/migrations/20260122110700_alert_management_admin_logs.sql","",AMBER,PENDING
153,"Zone-Specific Threat Heatmaps Dashboard","Web App (full), Mobile App (alert monitoring)","src/Routes.jsx","lib/services/advertiser_analytics_service.dart","supabase/migrations/20260122134700_compliance_dashboard.sql","",AMBER,PENDING
154,"Real-Time Threat Correlation Intelligence Hub","Web App (full), Mobile App (alert monitoring)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122050000_enhanced_elections_features.sql","",AMBER,PENDING
155,"Enhanced Predictive Threat Intelligence Center","Web App (full), Mobile App (alert monitoring)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122134700_compliance_dashboard.sql","",AMBER,PENDING
156,"Security Monitoring Dashboard","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122110700_alert_management_admin_logs.sql","",AMBER,PENDING
157,"Automated Security Testing Framework","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122041700_elections_votes_profiles.sql","",AMBER,PENDING
158,"Cryptographic Security Management Center","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122053000_direct_messaging.sql","",AMBER,PENDING
159,"Anthropic Security Reasoning Integration Hub","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122111900_scheduled_reports_email.sql","",AMBER,PENDING
160,"Security Vulnerability Remediation Control Center","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122050000_enhanced_elections_features.sql","",AMBER,PENDING
161,"Unified Business Intelligence Hub","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260123164300_accessibility_orchestration_analytics.sql","",AMBER,PENDING
162,"Enhanced Admin Revenue Analytics Hub","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122050000_enhanced_elections_features.sql","",AMBER,PENDING
163,"Live Platform Monitoring Dashboard","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122110700_alert_management_admin_logs.sql","",AMBER,PENDING
164,"Advanced Analytics and Predictive Forecasting Center","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260123020300_orchestration_automation_layer.sql","",AMBER,PENDING
165,"Financial Tracking and Zone Analytics Center","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122134700_compliance_dashboard.sql","",AMBER,PENDING
166,"Unified Revenue Intelligence Dashboard","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122134700_compliance_dashboard.sql","",AMBER,PENDING
167,"Admin Subscription Analytics Hub","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122111900_scheduled_reports_email.sql","",AMBER,PENDING
168,"Automated Payment Processing Hub","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122044400_wallet_transactions_payouts.sql","",AMBER,PENDING
169,"Automated Payout Calculation Engine","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122223200_financial_tracking_executive_reporting.sql","",AMBER,PENDING
170,"Country-Based Payout Processing Engine","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122044400_wallet_transactions_payouts.sql","",AMBER,PENDING
171,"Stripe Payment Integration Hub","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122044400_wallet_transactions_payouts.sql","",AMBER,PENDING
172,"Stripe Subscription Management Center","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260123020300_orchestration_automation_layer.sql","",AMBER,PENDING
173,"Multi-Currency Settlement Dashboard","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122134700_compliance_dashboard.sql","",AMBER,PENDING
174,"International Payment Dispute Resolution Center","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122134700_compliance_dashboard.sql","",AMBER,PENDING
175,"Unified Payment Orchestration Hub","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260123020300_orchestration_automation.sql","✅ Fully implemented (100%) (routed and integrated in the Web app)",GREEN,PENDING
176,"Comprehensive Gamification Admin Control Center","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122050000_enhanced_elections_features.sql","",AMBER,PENDING
177,"Platform Gamification Core Engine","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122041700_elections_votes_profiles.sql","",AMBER,PENDING
178,"Admin Quest Configuration Control Center","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122050000_enhanced_elections_features.sql","",AMBER,PENDING
179,"Gamification Campaign Management Center","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122111900_scheduled_reports_email.sql","",AMBER,PENDING
180,"Gamification Rewards Management Center","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260123195000_multi_auth_localization_features.sql","",AMBER,PENDING
181,"Compliance Dashboard","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122134700_compliance_dashboard.sql","",AMBER,PENDING
182,"Compliance Audit Dashboard","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122111900_scheduled_reports_email.sql","",AMBER,PENDING
183,"Regulatory Compliance Automation Hub","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122134700_compliance_dashboard.sql","",AMBER,PENDING
184,"Security Compliance Automation Center","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122110700_alert_management_admin_logs.sql","",AMBER,PENDING
185,"Localization and Tax Reporting Intelligence Center","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122134700_compliance_dashboard.sql","",AMBER,PENDING
186,"Public Bulletin Board and Audit Trail Center","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122041700_elections_votes_profiles.sql","",AMBER,PENDING
187,"Production Monitoring Dashboard","Web App (full)","src/index.jsx","lib/main.dart","supabase/migrations/20260123020300_orchestration_automation_layer.sql","",AMBER,PENDING
188,"Enhanced Performance Monitoring Dashboard","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122110700_alert_management_admin_logs.sql","",AMBER,PENDING
189,"Comprehensive Health Monitoring Dashboard","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122110700_alert_management_admin_logs.sql","",AMBER,PENDING
190,"Query Performance Monitoring Dashboard","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122110700_alert_management_admin_logs.sql","",AMBER,PENDING
191,"API Rate Limiting Dashboard","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122134700_compliance_dashboard.sql","",AMBER,PENDING
192,"Real-Time Performance Testing Suite","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122041700_elections_votes_profiles.sql","",AMBER,PENDING
193,"Load Testing and Performance Analytics Center","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122053000_direct_messaging.sql","",AMBER,PENDING
194,"Production Load Testing Suite","Web App (full)","src/index.jsx","lib/main.dart","supabase/migrations/20260126211100_platform_gamification_system.sql","",AMBER,PENDING
195,"Performance Optimization Engine Dashboard","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122134700_compliance_dashboard.sql","",AMBER,PENDING
196,"Unified AI Decision Orchestration Command Center","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260123020300_orchestration_automation_layer.sql","",AMBER,PENDING
197,"Unified AI Orchestration Command Center","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260123020300_orchestration_automation_layer.sql","",AMBER,PENDING
198,"AI Performance Orchestration Dashboard","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122134700_compliance_dashboard.sql","⚠️ Partial (route exists, but current Web router renders placeholder UI for full dashboard behavior)",AMBER,PENDING
199,"Automatic AI Failover Engine Control Center","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122041700_elections_votes_profiles.sql","⚠️ Partial (route exists, but current Web router renders placeholder UI for full control-center experience)",AMBER,PENDING
200,"AI Dependency Risk Mitigation Command Center","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260123212700_multi_domain_integration_features.sql","",AMBER,PENDING
201,"Claude Model Comparison Center","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260123020300_orchestration_automation_layer.sql","⚠️ Partial (route exists, but current Web router renders placeholder UI for full comparison workflow)",AMBER,PENDING
202,"ML Model Training Interface","Web App (full)","src/Routes.jsx","lib/widgets/custom_icon_widget.dart","supabase/migrations/20260123144900_topic_preference_swipe_system.sql","",AMBER,PENDING
203,"Continuous ML Feedback and Outcome Learning Center","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260123195000_multi_auth_localization_features.sql","",AMBER,PENDING
204,"Advanced Supabase Real-Time Coordination Hub","Web App (full)","src/index.jsx","lib/main.dart","supabase/migrations/20260122050000_enhanced_elections_features.sql","",AMBER,PENDING
205,"Enhanced Real-Time WebSocket Coordination Hub","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122050000_enhanced_elections_features.sql","⚠️ Partial (sub-100ms everywhere is not fully evidenced as complete across all monitoring dashboards in current Web implementation audits)",AMBER,PENDING
206,"Real-Time WebSocket Monitoring Command Center","Web App (full)","src/index.jsx","lib/main.dart","supabase/migrations/20260122050000_enhanced_elections_features.sql","",AMBER,PENDING
207,"Cross-Domain Data Sync Hub","Web App (full)","src/i18n.js","lib/main.dart","supabase/migrations/20260122134700_compliance_dashboard.sql","✅ Fully implemented (100%) (routed and implemented in the Web app)",GREEN,PENDING
208,"Automated Data Cache Management Hub","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122053000_direct_messaging.sql","",AMBER,PENDING
209,"Unified Incident Response Orchestration Center","Web App (full), Mobile App (critical alerts)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122220000_ai_content_safety_regulatory_compliance.sql","",AMBER,PENDING
210,"Unified Incident Response Command Center","Web App (full), Mobile App (critical alerts)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122220000_ai_content_safety_regulatory_compliance.sql","",AMBER,PENDING
211,"Automated Incident Response Portal","Web App (full), Mobile App (critical alerts)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122110700_alert_management_admin_logs.sql","",AMBER,PENDING
212,"Stakeholder Incident Communication Hub","Web App (full), Mobile App (critical alerts)","src/Routes.jsx","lib/services/automated_incident_response_service.dart","supabase/migrations/20260122220000_ai_content_safety_regulatory_compliance.sql","",AMBER,PENDING
213,"Enhanced Incident Response Analytics","Web App (full), Mobile App (critical alerts)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122220000_ai_content_safety_regulatory_compliance.sql","",AMBER,PENDING
214,"Predictive Incident Prevention Center (24h)","Web App (full), Mobile App (critical alerts)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122220000_ai_content_safety_regulatory_compliance.sql","",AMBER,PENDING
215,"Unified Alert Management Center","Web App (full), Mobile App (receive alerts)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122110700_alert_management_admin_logs.sql","",AMBER,PENDING
216,"Advanced Custom Alert Rules Engine","Web App (full), Mobile App (receive alerts)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122041700_elections_votes_profiles.sql","",AMBER,PENDING
217,"Predictive Anomaly Alerting and Deviation Monitoring Hub","Web App (full), Mobile App (receive alerts)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122110700_alert_management_admin_logs.sql","",AMBER,PENDING
218,"Telnyx SMS Provider Management Center","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260123195000_advanced_missing_features.sql","",AMBER,PENDING
219,"SMS Compliance and Rate Limiting Control Center","Web App (full)","src/index.jsx","lib/main.dart","supabase/migrations/20260122050000_enhanced_elections_features.sql","",AMBER,PENDING
220,"SMS Delivery Optimization Engine Control Center","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122220000_ai_content_safety_regulatory_compliance.sql","",AMBER,PENDING
221,"Real-Time SMS Failover Monitoring Dashboard","Web App (full)","src/index.jsx","lib/main.dart","supabase/migrations/20260122050000_enhanced_elections_features.sql","",AMBER,PENDING
222,"Automated SMS Health Check Suite Dashboard","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122110700_alert_management_admin_logs.sql","",AMBER,PENDING
223,"SMS Performance Analytics Hub","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122111900_scheduled_reports_email.sql","",AMBER,PENDING
224,"Webhook Integration Hub","Web App (full)","src/Routes.jsx","lib/widgets/custom_icon_widget.dart","supabase/migrations/20260123020300_orchestration_automation_layer.sql","",AMBER,PENDING
225,"Advanced Webhook Orchestration Hub","Web App (full)","src/Routes.jsx","lib/routes/app_routes.dart","supabase/migrations/20260123020300_orchestration_automation.sql","",AMBER,PENDING
226,"RESTful API Management Center","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260123195000_multi_auth_localization_features.sql","⚠️ Partial (API infrastructure exists, but a fully verified single REST explorer + partner webhook-management experience in one dedicated portal is not confirmed end-to-end)",AMBER,PENDING
227,"Executive Reporting and Compliance Automation Hub","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122134700_compliance_dashboard.sql","",AMBER,PENDING
228,"Automated Executive Reporting and Claude Intelligence Hub","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122134700_compliance_dashboard.sql","",AMBER,PENDING
229,"Analytics Export and Reporting Hub","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122111900_scheduled_reports_email.sql","",AMBER,PENDING
230,"Bulk Management Screen","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260123123800_bulk_management_operations.sql","",AMBER,PENDING
231,"Admin Platform Logs Center","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122041700_elections_votes_profiles.sql","",AMBER,PENDING
232,"Unified Admin Activity Log","Web App (full)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122110700_alert_management_admin_logs.sql","",AMBER,PENDING
233,"White-Label Election Platform","Web App (full), Mobile App (configured per deployment)","src/Routes.jsx","lib/main.dart","supabase/migrations/20260122041700_elections_votes_profiles.sql","",AMBER,PENDING